turn,sender,addressed,ts_ms
655,ajax2854,yenxa,1542988687636
656,blackww_253,,1542988766849
657,yukiess,grognosh2,1542988777158
658,u3517603,badas53,1542988824870
659,nicolbolas214,,1542988845973
660,blackww_253,,1542988855834
661,mrlexgr,,1542988870919
662,west4u2,,1542988883497
663,west4u2,,1542988883504
664,streamelements,,1542988973409
665,mr_underpants,,1542988996847
666,ktfy,,1542989005864
667,west4u2,,1542989026862
668,zitiron,,1542989058010
669,godgabe,,1542989073423
670,ajax2854,,1542989138140
671,blackww_253,yenxa,1542989154759
672,fyllokungen,,1542989191532
673,twitchviewer1992,,1542989231598
674,yenxa,,1542989256499
675,wooooly,,1542989280510
676,hxc_hs,,1542989294911
677,twitchviewer1992,,1542989327175
678,nlghthawkk,,1542989355785
679,blackww_253,yenxa,1542989458686
680,fr3quenttv,rdulive,1542989492222
681,blackww_253,,1542989567544
682,grumpykitten69,,1542989592801
683,blackww_253,,1542989593766
684,domse93,,1542989759824
685,rtheeraser,,1542989784140
686,blackww_253,yenxa,1542989786294
687,yenxa,,1542989801548
688,rtheeraser,,1542989822465
689,yenxa,,1542989922411
690,ajax2854,,1542989947349
691,bizouncehs,,1542990000877
692,west4u2,,1542990038198
693,ktfy,,1542990077639
694,nabiee,loldajoe,1542990117208
695,notbillcosby_,,1542990118389
696,nabiee,,1542990177357
697,west4u2,,1542990296399
698,19amg98,west4u2,1542990314206
699,notbillcosby_,,1542990353146
700,kementarii,,1542990362128
701,die3telegion,,1542990379644
702,uhtred_from_bebbanburg,,1542990402846
703,uhtred_from_bebbanburg,,1542990402851
704,kelethmos,,1542990426209
705,alexonlyworld,,1542990453147
706,silentsnails,,1542990453962
707,tranxiz,,1542990456677
708,nekemmindegy,,1542990460017
709,sasukeisbeck,xkillergod,1542990467560
710,sasukeisbeck,xkillergod,1542990467567
711,diviuss,,1542990471184
712,u3517603,rdulive,1542990519025
713,west4u2,,1542990596494
714,halcyongirl,,1542990628898
715,valia11,,1542990680472
716,beepbeepbeep3,,1542990733977
717,west4u2,loldajoe,1542990808462
718,beepbeepbeep3,loldajoe,1542990824359
719,ktfy,,1542990850896
720,loldajoe,,1542990999543
721,nejxy,,1542991028309
722,arran564,,1542991053152
723,politeod,,1542991068734
724,politeod,,1542991068740
725,19amg98,,1542991079327
726,badyacs,,1542991082259
727,kellhus123,,1542991083972
728,dumek,,1542991086500
729,hiimthotd,,1542991098627
730,kiixxx,rdulive,1542991114681
731,beer_trap,iampasos,1542991151757
732,ktfy,,1542991176332
733,loldajoe,,1542991225635
734,palaosi,,1542991241757
735,kellhus123,rdulive,1542991310209
736,jagodovvy,,1542991342333
737,19amg98,,1542991382426
738,oskurok,,1542991439595
739,sammechu,,1542991512270
740,ktfy,,1542991547472
741,grumpykitten69,rdulive,1542991571990
742,gr1mm_reaper1no,rageesportsdarky,1542991627183
743,oskurok,,1542991632923
744,rageesportsdarky,,1542991644682
745,kiixxx,,1542991657829
746,kellhus123,,1542991661055
747,loldajoe,,1542991694597
748,silentsnails,,1542991708964
749,asdy811224,,1542991717914
750,valentinwo,,1542991731201
751,bb1995123,,1542991746480
752,bb1995123,,1542991746486
753,adamcim,,1542991758218
754,nejxy,,1542991777572
755,silentsnails,,1542991781991
756,alerick_wong,,1542991795027
757,uhtred_from_bebbanburg,,1542991796278
758,dumek,,1542991802081
759,oskurok,,1542991819579
760,bs17618,,1542991843265
761,higgi17,,1542991892607
762,oskurok,,1542991895780
763,iampasos,,1542991898601
764,hionut,,1542991969448
765,ironoctothorpe,,1542992012211
766,solaniumg,laytons_hat,1542992050400
767,seeshark_,rdulive,1542992062107
768,asdy811224,,1542992072878
769,uhtred_from_bebbanburg,,1542992104067
770,kellhus123,,1542992132818
771,ironoctothorpe,,1542992139044
772,solaniumg,silentsnails,1542992182968
773,solaniumg,silentsnails,1542992182973
774,everybodylovespwnstarz,,1542992235899
775,asdy811224,,1542992242134
776,solaniumg,,1542992262940
777,solaniumg,rdulive,1542992301207
778,venrai,,1542992317480
779,underl1g,,1542992339224
780,kyoonaw,,1542992356883
781,vittuilevakorppi,,1542992377837
782,hr8938c,,1542992383160
783,hr8938c,,1542992383164
784,dankusmemeius,,1542992395796
785,kellhus123,rdulive,1542992405935
786,rageesportsdarky,,1542992409519
787,solaniumg,,1542992441524
788,loldajoe,,1542992455181
789,rostinator,,1542992456873
790,arran564,,1542992478487
791,ajax2854,,1542992481738
792,enieo,,1542992485532
793,seeshark_,,1542992486699
794,nejxy,,1542992489927
795,thisisarnold,,1542992544163
796,owen_gg,,1542992549514
797,loldajoe,,1542992551664
798,nabiee,,1542992566881
799,uhtred_from_bebbanburg,,1542992582283
800,gr1mm_reaper1no,,1542992586289
801,sadorgy,,1542992586294
802,toplegende,,1542992591600
803,thisisarnold,,1542992601288
804,dankusmemeius,,1542992602728
805,dankusmemeius,,1542992619288
806,kellhus123,rdulive,1542992621517
807,thegamer97hs,,1542992634533
808,lgd251,,1542992644453
809,jcraiden,,1542992657618
810,raddaya,rdulive,1542992660832
811,quaoliz,,1542992674687
