channel,sender,words
perrkz,scarooo34,2
giantwaffle,aquaterion,10
sodapoppin,p5ou,1
giantwaffle,markuzad,4
perrkz,oxenia1111,1
giantwaffle,ecchismugglerdon,8
perrkz,oxenia1111,3
perrkz,deathklok97,2
perrkz,godlikenil,5
sodapoppin,alphahc,1
perrkz,godlikenil,4
xqcow,reciles,1
perrkz,johncorabi,4
perrkz,nickoone,1
perrkz,godlikenil,1
sodapoppin,vile35,5
sodapoppin,maxmetz0,2
bobross,otrae,4
xqcow,dolev_,1
perrkz,luffyisbae,4
perrkz,lordkntt2,4
perrkz,lordkntt2,3
perrkz,thatlatvianguy,1
perrkz,g2_maro,7
perrkz,steamcancer,3
perrkz,nickoone,1
disguisedtoast,shadowlink30,1
perrkz,stfu_jatt,3
perrkz,luffyisbae,7
perrkz,steamcancer,12
perrkz,hazard32123,1
xqcow,se_bastian,1
perrkz,nerf0704,9
xqcow,0161_ya_get_me,64
sodapoppin,rawrwafl,3
perrkz,luffyisbae,5
perrkz,azureee7,1
xqcow,edrinaline,3
perrkz,steamcancer,9
xqcow,nglitchy,10
perrkz,lordkntt2,1
perrkz,nickoone,3
xqcow,gweekgangx,2
xqcow,boshjaker,2
xqcow,rivelin_o,1
perrkz,scazmatar,5
perrkz,eddy_kr,1
perrkz,aconexofficial,1
perrkz,reesboo,1
bobross,snormiimickytv,3
perrkz,nerf0704,11
perrkz,armaann,7
perrkz,gatyesz,2
perrkz,apxshogun,2
perrkz,bloodreyna,1
perrkz,bizeeey,3
perrkz,juei,1
perrkz,ld392,1
perrkz,he_does_it_4_free,3
giantwaffle,notsosmartbahroo,2
perrkz,lukii9,7
perrkz,armourpiercing1,6
perrkz,na_less_semis_than_jankos,6
perrkz,stillboosted,2
perrkz,steamcancer,13
perrkz,widlywgnoju,2
perrkz,zulindra,7
perrkz,he_does_it_4_free,1
perrkz,ld392,6
xqcow,yugen_ow,1
disguisedtoast,shadowlink30,4
perrkz,gornji,3
perrkz,arturinho19,5
perrkz,bgen0edits,16
perrkz,lordkntt2,2
perrkz,adeptshinobi,1
perrkz,hazard32123,1
perrkz,eddy_kr,1
perrkz,bizeeey,1
perrkz,zarius_,1
perrkz,runescapefish,1
xqcow,vic1or,6
perrkz,azureee7,1
perrkz,entropier,1
perrkz,ld392,1
perrkz,sinmivak,4
perrkz,bgen0edits,5
perrkz,bgen0edits,1
bobross,coolcalcacol,2
perrkz,bgen0edits,6
perrkz,paradox176,1
disguisedtoast,ghostlytoxic68,6
xqcow,eaglestrike_ow,1
disguisedtoast,thenyanking,1
perrkz,azureee7,1
sodapoppin,drewskyy,6
perrkz,mundicivissum,2
perrkz,alexssnt,2
sodapoppin,the_pandough_pro,18
sodapoppin,chaos_infern0,0
perrkz,lordkntt2,2
perrkz,aconexofficial,2
perrkz,adeptshinobi,6
perrkz,adeptshinobi,1
perrkz,lordkntt2,1
perrkz,jaquesbonom,6
sodapoppin,martin3_3,1
perrkz,lordkntt2,2
sodapoppin,aydemirian,29
perrkz,jaquesbonom,1
sodapoppin,whale_vomit,1
perrkz,mrstrabb,4
sodapoppin,based_peppep,1
perrkz,prefermidlane,1
perrkz,soulsneeded,2
perrkz,lordkntt2,1
perrkz,khirsah6,15
perrkz,jaquesbonom,6
perrkz,crannytrap,8
perrkz,mundicivissum,12
perrkz,he_does_it_4_free,1
perrkz,philippak99,3
perrkz,reesboo,5
bobross,hazarduss,1
bobross,planiciesresiduais,1
perrkz,zathorius89,1
perrkz,shadowlunar,1
sodapoppin,ezganks,10
perrkz,aconexofficial,2
perrkz,khazixtoostronk,1
perrkz,ybivalllka161,4
perrkz,watmarco,1
perrkz,eddy_kr,1
xqcow,kingofsweats,29
perrkz,robin654,2
perrkz,mundicivissum,1
perrkz,jiqonix,1
perrkz,rileyreidfanboy,1
perrkz,blitszpt,3
perrkz,bizeeey,5
disguisedtoast,officialtony101,1
perrkz,lordkntt2,4
perrkz,widlywgnoju,2
perrkz,fhulgrim_,1
perrkz,lordkntt2,1
perrkz,koteczegx,1
perrkz,aconexofficial,3
perrkz,wilczur50,1
perrkz,reesboo,4
perrkz,lordkntt2,3
sodapoppin,spunjie,2
perrkz,juei,1
perrkz,hi_its_mad,8
sodapoppin,maxed_hd,1
perrkz,shadowlunar,1
perrkz,stevo719,4
perrkz,nickoone,2
perrkz,shadowlunar,2
perrkz,volta_huehue,5
perrkz,widlywgnoju,2
bobross,remockz,5
giantwaffle,humongouschungus,1
perrkz,camthug_,1
perrkz,bizeeey,2
perrkz,reesboo,4
perrkz,able16_,11
perrkz,volta_huehue,3
perrkz,nickoone,2
perrkz,momoseed124,1
perrkz,kingroders,2
sodapoppin,prac1ice,9
disguisedtoast,davezombarian,3
sodapoppin,jorjiitos,5
sodapoppin,captaincunk,15
perrkz,kerseon___,1
perrkz,passi1612,6
perrkz,juei,1
perrkz,lolvanha,1
perrkz,lordkntt2,10
perrkz,yejiki,1
disguisedtoast,reedweed,2
perrkz,soulsneeded,2
perrkz,widlywgnoju,3
perrkz,mundicivissum,2
xqcow,quote_when_xqc_goes_agane,1
perrkz,lordkntt2,1
bobross,wjung3660,1
sodapoppin,lethenar,2
perrkz,shadowlunar,3
perrkz,passi1612,8
